project,commit,typeRFT,description,pre_commit_line_number,pre_commit_code_element,pre_commit_description,post_commit_line_number,post_commit_code_element,post_commit_description,MANUAL - observation,MANUAL - Abstracted Observation,MANUAL - High Level Category,MANUAL - additional details
hbase,8290139d4b6babe2cdb53c98fcbb6369486aa22f,Add Method Annotation,"Add Method Annotation @Ignore(""Test for unfinished feature"") in method public testRegionPlacement() : void from class org.apache.hadoop.hbase.master.TestRegionPlacement",103,public testRegionPlacement() : void,original method declaration,104,"@Ignore(""Test for unfinished feature"")",added annotation,"@Ignored due to unfinished feature, however even after feature is finished, forget to unignored",[feature addition -> @Ignored],IGNORED,FEATURE ADDITION
hbase,6855d5837955c31f4774d42694d64a6d921bc1f5,Remove Class Annotation,Remove Class Annotation @Ignore in class org.apache.hadoop.hbase.regionserver.TestScannerHeartbeatMessages,82,@Ignore,deleted annotation,76,org.apache.hadoop.hbase.regionserver.TestScannerHeartbeatMessages,class declaration with removed annotation,Ignored until feature is implemented,[Feature Addition -> @Ignored],IGNORED,FEATURE ADDITION
hbase,5847c901a743586f3afc45fc6e73e5c07a3c7b70,Remove Class Annotation,Remove Class Annotation @Ignore in class org.apache.hadoop.hbase.master.TestMasterFailover,65,@Ignore,deleted annotation,51,org.apache.hadoop.hbase.master.TestMasterFailover,class declaration with removed annotation,re-enable after test is re-implemented,[Feature Improvement -> @Ignored],IGNORED,FEATURE ADDITION
hbase,481338cc4b87da17c4edb621a0287f17899537a1,Remove Class Annotation,Remove Class Annotation @Ignore in class org.apache.hadoop.hbase.regionserver.slowlog.TestSlowLogRecorder,65,@Ignore,deleted annotation,60,org.apache.hadoop.hbase.regionserver.slowlog.TestSlowLogRecorder,class declaration with removed annotation,re-enable after fixing flaky test,[Flaky -> @Ignored],IGNORED,FEATURE ADDITION
hbase,6d39b011d413f0cee98549a293fefa187a912ad4,Remove Method Annotation,Remove Method Annotation @Ignore in method public testPickers() : void from class org.apache.hadoop.hbase.master.balancer.TestFavoredStochasticBalancerPickers,102,@Ignore,deleted annotation,116,public testPickers() : void,method declaration with removed annotation,re-anbling after ignoring due to new feature,[Feature Addition -> @Ignored],IGNORED,FEATURE ADDITION
orientdb,5f81239ded423f1edb3f0d307679626bca04759d,Add Method Annotation,"Add Method Annotation @Test(dependsOnMethods = ""testTruncateUnderlyingCluster"") in method public testUpdateRestricted() : void from class com.orientechnologies.orient.test.database.auto.RestrictedTest",268,public testUpdateRestricted() : void,original method declaration,268,"@Test(dependsOnMethods = ""testTruncateUnderlyingCluster"")",added annotation,Ignored while feature additiomn,[Feature Addition -> @Ignored],IGNORED,FEATURE ADDITION
orientdb,f56910b9abc7574b9757d02b171b2e588eac6f5c,Modify Method Annotation,"Modify Method Annotation @Test to @Test(dependsOnMethods = ""testSubFolderDbCreateConnPool"") in method public testCreateAndConnectionPool() : void from class com.orientechnologies.orient.test.database.auto.DbCreationTest",195,@Test,original annotation,195,"@Test(dependsOnMethods = ""testSubFolderDbCreateConnPool"")",modified annotation,disabled intially during feature addition,[Feature Addition -> @Ignored],IGNORED,FEATURE ADDITION
hadoop,d9bcf99aef23f71391c728279698f4265a8d1243,Add Method Annotation,Add Method Annotation @Ignore in method public testRMWebAppRedirect() : void from class org.apache.hadoop.yarn.client.TestRMFailover,277,public testRMWebAppRedirect() : void,original method declaration,281,@Ignore,added annotation,manual testing,[External Dependency -> @Ignored] [ Manual ],IGNORED,EXTERNAL DEPENDENCY - MANUAL
hbase,9f27fdaffc7e87e1aaefc17a7a4b3f643d8723fe,Add Class Annotation,Add Class Annotation @Ignore in class org.apache.hadoop.hbase.trace.TestHTraceHooks,48,org.apache.hadoop.hbase.trace.TestHTraceHooks,original class declaration,49,@Ignore,added annotation,"@Ignored since it's not supported in 2.0.0 version (why not just delete?) and is also flaky (in bug report it is shown as fixed, but still ignored...)",[flaky -> @Ignored] [Forgotten],IGNORED,FLAKY
hbase,6e02fb9464fbf7a354ad49954f0729116e45ae4e,Add Method Annotation,"Add Method Annotation @Ignore(""Disabled for now until FavoredNodes gets finished as a feature"") in method public testSmallCluster() : void from class org.apache.hadoop.hbase.master.balancer.TestFavoredNodeAssignmentHelper",100,public testSmallCluster() : void,original method declaration,101,"@Ignore(""Disabled for now until FavoredNodes gets finished as a feature"")",added annotation,Ignored due to abandoned feature that could hang -> fixed when feature is added.,[missing feature -> @Ignored],IGNORED,BUG-HANGING TEST
hbase,99fbe73552e617f8988351da3b6ef4c475a80611,Remove Method Annotation,Remove Method Annotation @Ignore in method public testPickers() : void from class org.apache.hadoop.hbase.master.balancer.TestFavoredStochasticBalancerPickers,102,@Ignore,deleted annotation,116,public testPickers() : void,method declaration with removed annotation,Removed @Ignored after fiixing hanging test using WaitFor,[Bug -> @Ignored],IGNORED,BUG-HANGING TEST
orientdb,d876f35b883fbcf099678009795efd6648e0cc0a,Remove Method Annotation,Remove Method Annotation @Ignore in method public test() : void from class com.orientechnologies.orient.server.distributed.scenariotest.FaultDuringWritingWithOperationRedirectScenarioTest,59,@Ignore,deleted annotation,58,public test() : void,method declaration with removed annotation,ignored due to deadlock,[Bug -> @Ignored],IGNORED,BUG-HANGING TEST
Openfire,aa8d6d314552f5b4541840fd87150fa4799b1644,Remove Class Annotation,Remove Class Annotation @Ignore in class org.jivesoftware.openfire.keystore.CheckChainTrustedTest,19,@Ignore,deleted annotation,14,org.jivesoftware.openfire.keystore.CheckChainTrustedTest,class declaration with removed annotation,Ignore test that fails to build in slower build,[ad-hoc @Ignored],IGNORED,BUG-SLOW TEST
orientdb,279dd2c2120883ee157b924faa0af2fa1981f6a9,Remove Method Annotation,Remove Method Annotation @BeforeClass in method public beforeClass() : void from class com.orientechnologies.orient.graph.GraphTxAbstractTest,66,@BeforeClass,deleted annotation,61,public beforeClass() : void,method declaration with removed annotation,"Travis CI runs out of resources quickly, so to pass the test it disables some tests.",[ad-hoc @Ignored],IGNORED,BUG-SLOW TEST
orientdb,8f782f60f3bd7261a713c14f6918870f872b3722,Modify Class Annotation,"Modify Class Annotation @Test(groups = ""remote"") to @Test(enabled = false) in class com.orientechnologies.lucene.test.LuceneSpatialQueryRemoteTest",23,"@Test(groups = ""remote"")",original annotation,23,@Test(enabled = false),modified annotation,disabled due to compilation error.. not test failure.,[Bug -> @Ignored] [Forgotten],IGNORED,BUG-COMPILATION FAILURE
orientdb,d2824c15d7ae8e5afef01438592122084e838eb6,Modify Method Annotation,Modify Method Annotation @Test(expected = OCommandExecutionException.class) to @Test in method public testRidSelect() : void from class com.orientechnologies.orient.server.network.OLiveQueryRemoteTest,105,@Test(expected = OCommandExecutionException.class),original annotation,100,@Test,modified annotation,After ignored ported to another codebase.,[ Porting -> @Ignored ],IGNORED,FEATURE ADDITION-PORTING
kafka,422687148e01b607ef26d001fe1874a35e90d0ae,Add Class Annotation,Add Class Annotation @Category(IntegrationTest.class) in class org.apache.kafka.streams.state.internals.RocksDBStoreTest,78,org.apache.kafka.streams.state.internals.RocksDBStoreTest,original class declaration,80,@Category(IntegrationTest.class),added annotation,"Ignored while hotfix, but fixed at later date -> technical debt.",[HotFix -> @Ignored],IGNORED,BUG-HOTFIX
ambari,8c278eab0e2dd1ea08dc8d2ccf6887f6ace40852,Modify Method Annotation,Modify Method Annotation @Test to @Test(expected = HostNotFoundException.class) in method public testGetHosts___HostNotFoundException() : void from class org.apache.ambari.server.controller.internal.HostResourceProviderTest,1193,@Test,original annotation,1167,@Test(expected = HostNotFoundException.class),modified annotation,"timeout fails due to deadlock. After fixing bug, timeout removed.",[Deadlock -> @Timeout fail],TIMEOUT,COMPLEMENTS CONCURRENCY
ambari,84570411436f2b93887a5c0bca3d52761573217b,Remove Method Annotation,Remove Method Annotation @Before in method public init() : void from class org.apache.ambari.server.upgrade.UpgradeCatalog212Test,85,@Before,deleted annotation,121,public setupIoCContext() : void,method declaration with removed annotation,increase timeout while fixing bug related to deadlock,[Deadlock -> @Timeout fail],TIMEOUT,COMPLEMENTS CONCURRENCY
camel,2d1da92fda175200876f083677a69366fed53bd3,Remove Attribute Annotation,Remove Attribute Annotation @ClassRule in attribute public container : GenericContainer from class org.apache.camel.component.consul.cluster.ConsulClusteredRoutePolicyFactoryTest,43,@ClassRule,deleted annotation,46,public container : GenericContainer,attribute declaration with removed annotation,Remove timeout due to removal of thread.sleep(),[Thread.sleep() -> @Timeout],TIMEOUT,RELAX TIMEOUT-THREAD SLEEP
druid,e5c4927b144e0a496d6c241d116ce7180b84ae02,Modify Method Annotation,"Modify Method Annotation @Parameterized.Parameters(name = ""partitionType={0}, interval={1}, shardInfoForEachSegment={2}, data={3}"") to @Parameterized.Parameters(name = ""partitionType={0}, interval={1}, shardInfoForEachSegment={2}, data={3}, "" + ""inputFormatName={4}"") in method public constructFeed() : Collection<Object[]> from class io.druid.indexer.IndexGeneratorJobTest",68,"@Parameterized.Parameters(name = ""partitionType={0}, interval={1}, shardInfoForEachSegment={2}, data={3}"")",original annotation,80,"@Parameterized.Parameters(name = ""partitionType={0}, interval={1}, shardInfoForEachSegment={2}, data={3}, "" + ""inputFormatName={4}"")",modified annotation,Increase timeout while rft test code from thread.sleep -> CountDownLatch,[Wait for -> Relaxes timeout],TIMEOUT,COMPLEMENTS EXTERNAL RESOURCE RETRIEVAL
hadoop,aa6010ccca3045ce9f0bb819fb2cb7ff65e1822b,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test(timeout = 120000) in method public testReportCommand() : void from class org.apache.hadoop.hdfs.tools.TestDFSAdmin,475,@Test(timeout = 30000),original annotation,478,@Test(timeout = 120000),modified annotation,increase timeout in test while increasing waitFor operation.,[Relaxes timeout],TIMEOUT,COMPLEMENTS EXTERNAL RESOURCE RETRIEVAL
hadoop,a33e89931b543e2bb3c29a6f36d6db16c5f5feed,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 60000) in method public testBlockManagerMachinesArray() : void from class org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManager,1152,@Test,original annotation,1152,@Test(timeout = 60000),modified annotation,add timeout when adding waitfor condition,[Relaxes timeout],TIMEOUT,COMPLEMENTS EXTERNAL RESOURCE RETRIEVAL
hbase,52edd83baf2e8bbf519c6c4927cbdd8dce9ae406,Modify Method Annotation,Modify Method Annotation @Test(timeout = 15000) to @Test(timeout = 20000) in method public testLockupWhenSyncInMiddleOfZigZagSetup() : void from class org.apache.hadoop.hbase.regionserver.TestWALLockup,106,@Test(timeout = 15000),original annotation,107,@Test(timeout = 20000),modified annotation,increase timeout because await condition in test code is added,[Wait for -> Relaxes timeout],TIMEOUT,COMPLEMENTS EXTERNAL RESOURCE RETRIEVAL
druid,dfce14ed17634cd814b99c5318654f387e982cc7,Modify Method Annotation,"Modify Method Annotation @Parameterized.Parameters to @Parameterized.Parameters(name = ""{0}"") in method public constructorFeeder() : Iterable<Object[]> from class io.druid.client.CachingClusteredClientTest",224,@Parameterized.Parameters,original annotation,278,"@Parameterized.Parameters(name = ""{0}"")",modified annotation,increase timeout because TravisCI takes long time to get resources.,[CI problem -> increase timeout],TIMEOUT,RELAX TIMEOUT-SLOW CONTINUOUS INTEGRATION
flink,138334a6d0181de153abd9bcfabba201ad512f34,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 50000) in method public testCheckpointRecovery() : void from class org.apache.flink.runtime.checkpoint.ZooKeeperCompletedCheckpointStoreTest,202,@Test(timeout = 5000),original annotation,202,@Test(timeout = 15000),modified annotation,Timeout to detect deadlock in external dependency,[Deadlock -> @Timeout fail],TIMEOUT,COMPLEMENTS CONCURRENCY
flink,e1a4db2841dfd24ff09d6e38fb3a4e988c85a3b8,Modify Method Annotation,Modify Method Annotation @Test(timeout = 100_000) to @Test in method public testVCoresAreSetCorrectlyAndJobManagerHostnameAreShownInWebInterfaceAndDynamicPropertiesAndYarnApplicationNameAndTaskManagerSlots() : void from class org.apache.flink.yarn.YARNSessionCapacitySchedulerITCase,249,@Test(timeout = 100_000),original annotation,249,@Test,modified annotation,Timeouts in test used when there is concurrency or external interaction and waitFor,[Concurrency/External Dep -> Add Timeout],TIMEOUT,COMPLEMENTS CONCURRENCY
hadoop,26673b312de89e8fe7b1aa5647a8fcc72e414cbe,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 30000) in method public testInitFill() : void from class org.apache.hadoop.crypto.key.TestValueQueue,63,@Test,original annotation,69,@Test(timeout = 30000),modified annotation,add timeout while fixing race condition by adding waitFor in src code.,[RaceCondition -> @Timeout],TIMEOUT,COMPLEMENTS CONCURRENCY
hadoop,0c49f73a6c19ce0d0cd59cf8dfaa9a35f67f47ab,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 120000) in method public testVolumeFailure() : void from class org.apache.hadoop.hdfs.server.datanode.TestDataNodeVolumeFailure,138,@Test,original annotation,141,@Test(timeout = 120000),modified annotation,add timeout while fixing race condition by adding waitFor in src code.,[RaceCondition -> @Timeout],TIMEOUT,COMPLEMENTS CONCURRENCY
hadoop,3c7adaaf3571c91fee80585472d2a81402a53e2b,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test(timeout = 100000) in method public testExpiry() : void from class org.apache.hadoop.hdfs.shortcircuit.TestShortCircuitCache,206,@Test(timeout = 60000),original annotation,206,@Test(timeout = 100000),modified annotation,"deadlock -> timeout if lock is not released. At this time, test timeout is also relaxed.",[Deadlock -> @Timeout fail],TIMEOUT,COMPLEMENTS CONCURRENCY
hbase,2428c5f46712ac026f2523bd12ad9ea88359fca6,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 120000) in method public testCellPermissions() : void from class org.apache.hadoop.hbase.security.access.TestCellACLs,152,@Test,original annotation,156,@Test(timeout = 120000),modified annotation,Add timeout while fixing potential test failure case related to deadlock,[Concurrency -> Add @Timeout fail],TIMEOUT,COMPLEMENTS CONCURRENCY
hbase,9ac5f1c54865a284f709a6d6f9249f7d4170db59,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test in method public testWALfencingWithWALRolling() : void from class org.apache.hadoop.hbase.master.procedure.TestMasterFailoverWithProcedures,168,@Test(timeout = 60000),original annotation,180,@Test,modified annotation,"no discussion. Might have been deleted by accident. In fact, the timeout is added again in the future commit when RFT explicit timeout using @rule",[Concurrency -> Add @Timeout fail],TIMEOUT,COMPLEMENTS CONCURRENCY
hbase,a09c63ef26e30d35b7e9b5f0515c0b441ca53b45,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test in method public testConcurrentAccess() : void from class org.apache.hadoop.hbase.coprocessor.TestMetaTableMetrics,231,@Test(timeout = 30000),original annotation,160,@Test,modified annotation,"no discussion. Might have been deleted by accident. It tests concurrency, best practice is to add timeout to ensure there is no deadlock.",[Concurrency -> Add @Timeout fail],TIMEOUT,COMPLEMENTS CONCURRENCY
hbase,74090faafe81ba42c02e1329c37b296b4b0aa6b7,Modify Method Annotation,Modify Method Annotation @Test(timeout = 900000) to @Test(timeout = 1800000) in method public testRpcWithChaosMonkeyWithSyncClient() : void from class org.apache.hadoop.hbase.ipc.IntegrationTestRpcClient,374,@Test(timeout = 900000),original annotation,375,@Test(timeout = 1800000),modified annotation,increase timeout to account for slow machine,[Relaxes timeout],TIMEOUT,COMPLEMENTS CONCURRENCY
hadoop,f131dba8a3d603a5d15c4f035ed3da75b4daf0dc,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 120000) in method public testSetrepDecreasing() : void from class org.apache.hadoop.hdfs.TestSetrepDecreasing,25,@Test,original annotation,25,@Test(timeout = 120000),modified annotation,Timeout added because it gives better stack trace of where test is hanging,[Add timeout],TIMEOUT,PERFORMANCE REGRESSION DETECTION-HANGING TEST
hbase,782b1456f240ad2fc95555b0f464e6a7e0c1e685,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test in method public testBulkLoad() : void from class org.apache.hadoop.hbase.client.TestReplicaWithCluster,305,@Test(timeout = 30000),original annotation,313,@Test,modified annotation,"add timeout is useful for getting more debuggin information, such as zombie test.",[Hanging Test -> Add @Timeout],TIMEOUT,PERFORMANCE REGRESSION DETECTION-HANGING TEST
hbase,d2111dbda4a874224f9f4f0ba9d16edcc104c98a,Modify Method Annotation,"Modify Method Annotation @Test(expected = IOException.class, timeout = 120) to @Test(expected = IOException.class, timeout = 120000) in method public testBulkLoadPhaseFailure() : void from class org.apache.hadoop.hbase.mapreduce.TestLoadIncrementalHFilesSplitRecovery",260,"@Test(expected = IOException.class, timeout = 120)",original annotation,260,"@Test(expected = IOException.class, timeout = 120000)",modified annotation,add timeout to reveal zombie tests (run for a long time),[Hanging Test -> Add @Timeout],TIMEOUT,PERFORMANCE REGRESSION DETECTION-HANGING TEST
hbase,ac175b1bd9ec3878f50458382563810142df032d,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 20000) in method public testShutdownRejectsNewSchedules() : void from class org.apache.hadoop.hbase.TestChoreService,817,@Test,original annotation,817,@Test(timeout = 20000),modified annotation,"add timeout is useful for getting more debuggin information, such as zombie test.",[Hanging Test -> Add @Timeout],TIMEOUT,PERFORMANCE REGRESSION DETECTION-HANGING TEST
hadoop,f5ebb2ccf5255cbfa3cafe21fa058be526e01ed2,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 60000) in method public benchmark2() : void from class org.apache.hadoop.mapreduce.v2.app.MRAppBenchmark,267,@Test,original annotation,278,@Test(timeout = 60000),modified annotation,add timeout while bug fixing,[@Timeout -> Benchmarking],TIMEOUT,PERFORMANCE REGRESSION DETECTION-BENCHMARKING
hbase,4e6e93f26b417073fb7fb2d471ef2d8baf5422d9,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test(timeout = 15000) in method public testLockupWhenSyncInMiddleOfZigZagSetup() : void from class org.apache.hadoop.hbase.regionserver.TestWALLockup,106,@Test(timeout = 30000),original annotation,106,@Test(timeout = 15000),modified annotation,decrease timeout because tests actually run faster.,[@Timeout -> Benchmarking],TIMEOUT,PERFORMANCE REGRESSION DETECTION-BENCHMARKING
hadoop,34ee084c3dce7f9c443ba9179f706b90442af65a,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000000) to @Test(timeout = 120000) in method public testContainerManager() : void from class org.apache.hadoop.yarn.server.TestContainerManagerSecurity,140,@Test(timeout = 1000000),original annotation,142,@Test(timeout = 120000),modified annotation,relaxes timeout while bug fixing,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,91ca90fdd11129f37b32db85c10e9f36cbea08bb,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test(timeout = 120000) in method public testDataNodeTimeSpend() : void from class org.apache.hadoop.hdfs.server.datanode.TestDataNodeMetrics,260,@Test(timeout = 60000),original annotation,260,@Test(timeout = 120000),modified annotation,relaxes timeout while bug fixing to account for busy Jenkin slave,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,f32db1be1ebab832a6d69aadf5df735f9f3514b0,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000) to @Test(timeout = 10000) in method public testFifoPolicy() : void from class org.apache.hadoop.yarn.server.resourcemanager.scheduler.fair.policies.TestEmptyQueues,42,@Test(timeout = 1000),original annotation,42,@Test(timeout = 10000),modified annotation,"relaxes timeout to account for busy/slow machine, causing test failure",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,d6d1e2438bae8e39f2e43187c7186b0dacd41345,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000) to @Test(timeout = 10000) in method public testByteBufferRead() : void from class org.apache.hadoop.crypto.TestCryptoStreamsForLocalFS,91,@Test(timeout = 1000),original annotation,91,@Test(timeout = 10000),modified annotation,"relaxes timeout to account for busy/slow machine, causing test failure",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,b7b758ab1190bdd7f592f6e35d9d2fa8fda84f28,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000) to @Test(timeout = 10000) in method public testIdempotent() : void from class org.apache.hadoop.hdfs.nfs.nfs3.TestRpcProgramNfs3,752,@Test(timeout = 1000),original annotation,752,@Test(timeout = 10000),modified annotation,"relaxes timeout to account for busy/slow machine, causing test failure",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,7489f0fd1abcaac7da3ab06cc89f20eb8f58cd54,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000) to @Test(timeout = 10000) in method public testByteBufferRead() : void from class org.apache.hadoop.crypto.TestCryptoStreamsForLocalFS,91,@Test(timeout = 1000),original annotation,91,@Test(timeout = 10000),modified annotation,"relaxes timeout to account for busy/slow machine, causing test failure",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,0477eff8be4505ad2730ec16621105b6df9099ae,Modify Method Annotation,Modify Method Annotation @Test(timeout = 240000) to @Test(timeout = 300000) in method public testMultipleDatanodeFailure56() : void from class org.apache.hadoop.hdfs.TestDFSStripedOutputStreamWithFailure,244,@Test(timeout = 240000),original annotation,249,@Test(timeout = 300000),modified annotation,"relaxes timeout to account for busy/slow machine, causing test failure",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,f7faac8e90efaed4fbe9975c97e1b861c32cc3a3,Modify Method Annotation,Modify Method Annotation @Test(timeout = 1000) to @Test(timeout = 10000) in method public testByteBufferRead() : void from class org.apache.hadoop.crypto.TestCryptoStreamsForLocalFS,91,@Test(timeout = 1000),original annotation,91,@Test(timeout = 10000),modified annotation,relax timeout to support slow machines,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,caae0a0a088ec6c808b8820c8aba43ed5f3a1130,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test(timeout = 120000) in method public testUsageWithOneAttemptAndOneContainer() : void from class org.apache.hadoop.yarn.server.resourcemanager.TestContainerResourceUsage,73,@Test(timeout = 60000),original annotation,73,@Test(timeout = 120000),modified annotation,relax timeout for slow machine / relax timeout since thread.sleep is required,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hbase,86a5e3b4e3b80690c62189bdaaf8a959d841f03c,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test(timeout = 120000) in method public testChangeTable() : void from class org.apache.hadoop.hbase.client.TestReplicaWithCluster,169,@Test(timeout = 30000),original annotation,169,@Test(timeout = 120000),modified annotation,increase timeout to account for test failure in slow environment,[Hanging Test -> Add @Timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hbase,9bc7ecfb9dec6bfe14a12b6d3bfd11392d7752b8,Modify Method Annotation,Modify Method Annotation @Test(timeout = 600000) to @Test(timeout = 300000) in method public testSnapshotHFileArchiving() : void from class org.apache.hadoop.hbase.master.cleaner.TestSnapshotFromMaster,281,@Test(timeout = 600000),original annotation,281,@Test(timeout = 300000),modified annotation,"decrease no. arg for the test, thus decrease timeout. In this case, the developers use delegate method call to use parameters in unit test.",[@Timeout -> Benchmarking],TIMEOUT,RELAX TIMEOUT FOR SLOW MACHINE
hadoop,4edff93c7c8f3394132e257a84109b6ad50c1f9b,Modify Method Annotation,Modify Method Annotation @Test(timeout = 3000) to @Test(timeout = 10000) in method public testRead() : void from class org.apache.hadoop.fs.TestDFSIO,238,@Test(timeout = 3000),original annotation,238,@Test(timeout = 10000),modified annotation,"relax timeout because timeout too short, causing test failure",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT
hadoop,4880d890ee4716dafc5ff464c92a3c6d83b1db9b,Modify Method Annotation,Modify Method Annotation @Test to @Test(timeout = 20000) in method public testMultipleOOMEvents() : void from class org.apache.hadoop.yarn.server.nodemanager.containermanager.linux.resources.TestCGroupElasticMemoryController,92,@Test,original annotation,95,@Test(timeout = 20000),modified annotation,"sunfire build fails if one of the test take too long. Thus, use timeout on each test to narrow down which unit test may take too long.",[TDD -> timeout],TIMEOUT,PERFORMANCE REGRESSION DETECTION-TDD
kafka,5e231f1738ab4fec7b3fec3dc72d7f8568991cd4,Modify Class Annotation,"Modify Class Annotation @PowerMockIgnore({""javax.management.*"",""org.apache.kafka.connect.runtime.isolation.*""}) to @PowerMockIgnore({""javax.management.*"",""org.apache.log4j.*"",""org.apache.kafka.connect.runtime.isolation.*""}) in class org.apache.kafka.connect.runtime.WorkerSourceTaskTest",86,"@PowerMockIgnore({""javax.management.*"",""org.apache.kafka.connect.runtime.isolation.*""})",original annotation,86,"@PowerMockIgnore({""javax.management.*"",""org.apache.log4j.*"",""org.apache.kafka.connect.runtime.isolation.*""})",modified annotation,Ignored due to timeout. Enabled after improving test speed.,[Slow Performance -> @Timeout fail],TIMEOUT,PERFORMANCE REGRESSION DETECTION-TDD
hadoop,21eb4284487d6f8e4beedb8a0c3168e952f224fc,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test in method public testResourceUsageWhenNodeUpdatesPartition() : void from class org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.TestCapacitySchedulerNodeLabelUpdate,191,@Test(timeout = 60000),original annotation,206,@Test,modified annotation,remove timeout due to long test ( timeout is adhoc),[Removes timeout],TIMEOUT,TIMEOUT REMOVED SINCE RESOURCE RETRIEVAL IS SLOW
hadoop,3d1b59e04a1a7a6a4aaa4102dc58a5c1800de5dc,Modify Method Annotation,Modify Method Annotation @Test(timeout = 10000) to @Test(timeout = 1000) in method public testFitsIn() : void from class org.apache.hadoop.yarn.util.resource.TestResources,25,@Test(timeout = 10000),original annotation,131,@Test(timeout = 1000),modified annotation,decrease high timeout while implementing new feature (No discussion in the report),[tighten timeout],TIMEOUT,PERFORMANCE REGRESSION DETECTION-TIGHTEN TIMEOUT AFTER FEATURE IMPROVEMENT
hadoop,8dec72bfd73174bdc2dfa8ce845b28af48a6bca4,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test(timeout = 300000) in method public testVolumeIteratorWithCaching() : void from class org.apache.hadoop.hdfs.server.datanode.TestBlockScanner,248,@Test(timeout = 60000),original annotation,248,@Test(timeout = 300000),modified annotation,"Test fails due to timeout. Base time for test without loads is 20+ second, thus dev increase timeout by factor of 5.",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST
hadoop,611d452bcf217c680ac7169848311c06d9ec0a23,Modify Method Annotation,Modify Method Annotation @Test(timeout = 180000) to @Test(timeout = 600000) in method public testRemoveVolumeBeingWritten() : void from class org.apache.hadoop.hdfs.server.datanode.TestDataNodeHotSwapVolumes,759,@Test(timeout = 180000),original annotation,760,@Test(timeout = 600000),modified annotation,timeout increased while adding more test logic to deal with test failure.,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST
hadoop,e4c3b52c896291012f869ebc0a21e85e643fadd1,Modify Method Annotation,Modify Method Annotation @Test(timeout = 30000) to @Test(timeout = 60000) in method public testNodeUpdate() : void from class org.apache.hadoop.yarn.server.resourcemanager.scheduler.capacity.TestCapacitySchedulerNodeLabelUpdate,98,@Test(timeout = 30000),original annotation,98,@Test(timeout = 60000),modified annotation,"Test fails due to timeout; dev says ""matter of increasing timeout""",[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST
hadoop,3402c87353c18730cb659ac1d8b43b4e21c634f6,Modify Method Annotation,Modify Method Annotation @Test(timeout = 60000) to @Test(timeout = 120000) in method public testBalancerWithObserver() : void from class org.apache.hadoop.hdfs.server.balancer.TestBalancerWithHANameNodes,128,@Test(timeout = 60000),original annotation,128,@Test(timeout = 120000),modified annotation,Incrase timeout since there is more overhead involved with the failure handling.,[Relaxes timeout],TIMEOUT,RELAX TIMEOUT FOR SLOW TEST
